# 2theta	intensity	baseline	bg_subtracted	normalized
12.79411 12075.00000 11815.49739 259.50261 0.00809
12.80497 12060.00000 11810.12102 249.87898 0.00779
12.81584 12136.00000 11804.75366 331.24634 0.01032
12.82671 12168.00000 11799.39525 368.60475 0.01148
12.83757 12197.00000 11794.04572 402.95428 0.01255
12.84844 12095.00000 11788.70504 306.29496 0.00954
12.85931 12168.00000 11783.37313 384.62687 0.01198
12.87017 12105.00000 11778.04995 326.95005 0.01019
12.88104 11975.00000 11772.73545 202.26455 0.00630
12.89191 12176.00000 11767.42956 408.57044 0.01273
12.90277 12047.00000 11762.13224 284.86776 0.00888
12.91364 12341.00000 11756.84343 584.15657 0.01820
12.92451 12015.00000 11751.56308 263.43692 0.00821
12.93537 12007.00000 11746.29114 260.70886 0.00812
12.94624 12040.00000 11741.02755 298.97245 0.00931
12.95710 12016.00000 11735.77226 280.22774 0.00873
12.96797 12044.00000 11730.52523 313.47477 0.00977
12.97884 11992.00000 11725.28639 266.71361 0.00831
12.98970 11942.00000 11720.05570 221.94430 0.00691
13.00057 12117.00000 11714.83312 402.16688 0.01253
13.01144 11890.00000 11709.61858 180.38142 0.00562
13.02230 12169.00000 11704.41203 464.58797 0.01447
13.03317 11948.00000 11699.21344 248.78656 0.00775
13.04404 11777.00000 11694.02274 82.97726 0.00259
13.05490 12084.00000 11688.83990 395.16010 0.01231
13.06577 11983.00000 11683.66485 299.33515 0.00933
13.07664 12123.00000 11678.49756 444.50244 0.01385
13.08750 11847.00000 11673.33797 173.66203 0.00541
13.09837 12134.00000 11668.18603 465.81397 0.01451
13.10924 12143.00000 11663.04170 479.95830 0.01495
13.12010 11979.00000 11657.90493 321.09507 0.01000
13.13097 11823.00000 11652.77568 170.22432 0.00530
13.14183 11781.00000 11647.65389 133.34611 0.00415
13.15270 11848.00000 11642.53952 205.46048 0.00640
13.16357 11963.00000 11637.43253 325.56747 0.01014
13.17443 11819.00000 11632.33286 186.66714 0.00582
13.18530 12136.00000 11627.24048 508.75952 0.01585
