# 2theta	intensity	baseline	bg_subtracted	normalized
13.07664 14279.00000 13749.54342 529.45658 0.01326
13.08750 14127.00000 13744.45369 382.54631 0.00958
13.09837 14256.00000 13739.37079 516.62921 0.01294
13.10924 14003.00000 13734.29473 268.70527 0.00673
13.12010 14102.00000 13729.22554 372.77446 0.00934
13.13097 13859.00000 13724.16322 134.83678 0.00338
13.14183 14015.00000 13719.10779 295.89221 0.00741
13.15270 14231.00000 13714.05927 516.94073 0.01295
13.16357 14036.00000 13709.01767 326.98233 0.00819
13.17443 13987.00000 13703.98302 283.01698 0.00709
13.18530 14024.00000 13698.95532 325.04468 0.00814
13.19617 13973.00000 13693.93459 279.06541 0.00699
13.20703 14261.00000 13688.92086 572.07914 0.01433
13.21790 14140.00000 13683.91413 456.08587 0.01142
13.22877 14159.00000 13678.91443 480.08557 0.01202
13.23963 13769.00000 13673.92178 95.07822 0.00238
13.25050 13937.00000 13668.93620 268.06380 0.00671
13.26137 13979.00000 13663.95770 315.04230 0.00789
13.27223 14025.00000 13658.98630 366.01370 0.00917
13.28310 13894.00000 13654.02203 239.97797 0.00601
13.29396 13825.00000 13649.06491 175.93509 0.00441
13.30483 13939.00000 13644.11495 294.88505 0.00739
13.31570 13967.00000 13639.17217 327.82783 0.00821
13.32656 13987.00000 13634.23661 352.76339 0.00884
13.33743 13808.00000 13629.30827 178.69173 0.00448
13.34830 13926.00000 13624.38719 301.61281 0.00755
13.35916 13969.00000 13619.47338 349.52662 0.00875
13.37003 13794.00000 13614.56686 179.43314 0.00449
13.38090 13905.00000 13609.66766 295.33234 0.00740
13.39176 13985.00000 13604.77580 380.22420 0.00952
13.40263 13816.00000 13599.89130 216.10870 0.00541
13.41350 13761.00000 13595.01420 165.98580 0.00416
13.42436 14116.00000 13590.14450 525.85550 0.01317
13.43523 13791.00000 13585.28223 205.71777 0.00515
13.44609 13871.00000 13580.42743 290.57257 0.00728
13.45696 14074.00000 13575.58010 498.41990 0.01248
13.46783 13945.00000 13570.74029 374.25971 0.00937
13.47869 13995.00000 13565.90801 429.09199 0.01075
13.48956 13992.00000 13561.08329 430.91671 0.01079
13.50043 13832.00000 13556.26615 275.73385 0.00691
13.51129 13774.00000 13551.45663 222.54337 0.00557
13.52216 14074.00000 13546.65474 527.34526 0.01321
13.53303 13816.00000 13541.86052 274.13948 0.00687
13.54389 13667.00000 13537.07399 129.92601 0.00325
13.55476 13776.00000 13532.29519 243.70481 0.00610
13.56563 14010.00000 13527.52413 482.47587 0.01208
13.57649 13734.00000 13522.76085 211.23915 0.00529
13.58736 13861.00000 13518.00538 342.99462 0.00859
13.59822 13813.00000 13513.25774 299.74226 0.00751
13.60909 13801.00000 13508.51796 292.48204 0.00733
