# 2theta	intensity	baseline	bg_subtracted	normalized
14.34801 11657.00000 11546.14494 110.85506 0.00266
14.35888 11684.00000 11541.62601 142.37399 0.00342
14.36974 11700.00000 11537.11396 162.88604 0.00391
14.38061 11958.00000 11532.60876 425.39124 0.01021
14.39147 11706.00000 11528.11040 177.88960 0.00427
14.40234 11659.00000 11523.61883 135.38117 0.00325
14.41321 11785.00000 11519.13403 265.86597 0.00638
14.42407 11677.00000 11514.65596 162.34404 0.00390
14.43494 11952.00000 11510.18461 441.81539 0.01060
14.44581 11817.00000 11505.71994 311.28006 0.00747
14.45667 11859.00000 11501.26193 357.73807 0.00858
14.46754 11858.00000 11496.81054 361.18946 0.00867
14.47841 11703.00000 11492.36576 210.63424 0.00505
14.48927 11854.00000 11487.92755 366.07245 0.00878
14.50014 11684.00000 11483.49588 200.50412 0.00481
14.51101 11940.00000 11479.07073 460.92927 0.01106
14.52187 11766.00000 11474.65208 291.34792 0.00699
14.53274 11717.00000 11470.23990 246.76010 0.00592
14.54361 11835.00000 11465.83416 369.16584 0.00886
14.55447 11845.00000 11461.43484 383.56516 0.00920
14.56534 11635.00000 11457.04191 177.95809 0.00427
14.57620 11853.00000 11452.65535 400.34465 0.00961
14.58707 11719.00000 11448.27513 270.72487 0.00650
14.59794 11869.00000 11443.90124 425.09876 0.01020
14.60880 11609.00000 11439.53364 169.46636 0.00407
14.61967 11767.00000 11435.17232 331.82768 0.00796
14.63054 11743.00000 11430.81725 312.18275 0.00749
14.64140 11699.00000 11426.46841 272.53159 0.00654
14.65227 11539.00000 11422.12578 116.87422 0.00280
14.66314 11714.00000 11417.78933 296.21067 0.00711
14.67400 11853.00000 11413.45904 439.54096 0.01055
14.68487 11786.00000 11409.13490 376.86510 0.00904
14.69574 11850.00000 11404.81688 445.18312 0.01068
14.70660 11669.00000 11400.50495 268.49505 0.00644
14.71747 11895.00000 11396.19911 498.80089 0.01197
14.72833 11659.00000 11391.89932 267.10068 0.00641
14.73920 11443.00000 11387.60557 55.39443 0.00133
14.75007 11686.00000 11383.31785 302.68215 0.00726
14.76093 11650.00000 11379.03612 270.96388 0.00650
14.77180 11731.00000 11374.76038 356.23962 0.00855
14.78267 11533.00000 11370.49060 162.50940 0.00390
14.79353 11766.00000 11366.22677 399.77323 0.00959
14.80440 11643.00000 11361.96886 281.03114 0.00674
14.81527 11712.00000 11357.71686 354.28314 0.00850
14.82613 11475.00000 11353.47076 121.52924 0.00292
14.83700 11498.00000 11349.23053 148.76947 0.00357
14.84787 11641.00000 11344.99616 296.00384 0.00710
14.85873 11655.00000 11340.76763 314.23237 0.00754
14.86960 11570.00000 11336.54492 233.45508 0.00560
14.88046 11595.00000 11332.32802 262.67198 0.00630
14.89133 11712.00000 11328.11692 383.88308 0.00921
14.90220 11823.00000 11323.91159 499.08841 0.01197
14.91306 11675.00000 11319.71203 355.28797 0.00852
14.92393 11452.00000 11315.51821 136.48179 0.00327
14.93480 11455.00000 11311.33012 143.66988 0.00345
14.94566 11496.00000 11307.14775 188.85225 0.00453
14.95653 11517.00000 11302.97108 214.02892 0.00514
14.96740 11410.00000 11298.80010 111.19990 0.00267
14.97826 11711.00000 11294.63480 416.36520 0.00999
14.98913 11637.00000 11290.47517 346.52483 0.00831
15.00000 11533.00000 11286.32118 246.67882 0.00592
15.01086 11528.00000 11282.17282 245.82718 0.00590
15.02173 11681.00000 11278.03009 402.96991 0.00967
15.03259 11648.00000 11273.89297 374.10703 0.00898
15.04346 11682.00000 11269.76145 412.23855 0.00989
15.05433 11465.00000 11265.63552 199.36448 0.00478
15.06519 11685.00000 11261.51516 423.48484 0.01016
15.07606 11347.00000 11257.40037 89.59963 0.00215
15.08693 11391.00000 11253.29113 137.70887 0.00330
15.09779 11400.00000 11249.18744 150.81256 0.00362
15.10866 11557.00000 11245.08928 311.91072 0.00748
15.11953 11568.00000 11240.99664 327.00336 0.00785
15.13039 11604.00000 11236.90951 367.09049 0.00881
15.14126 11539.00000 11232.82789 306.17211 0.00735
15.15213 11525.00000 11228.75177 296.24823 0.00711
15.16299 11591.00000 11224.68113 366.31887 0.00879
15.17386 11440.00000 11220.61596 219.38404 0.00526
15.18473 11608.00000 11216.55627 391.44373 0.00939
15.19559 11603.00000 11212.50204 390.49796 0.00937
15.20646 11475.00000 11208.45326 266.54674 0.00640
15.21732 11589.00000 11204.40992 384.59008 0.00923
15.22819 11427.00000 11200.37202 226.62798 0.00544
15.23906 11524.00000 11196.33956 327.66044 0.00786
15.24992 11569.00000 11192.31252 376.68748 0.00904
15.26079 11270.00000 11188.29090 81.70910 0.00196
15.27166 11670.00000 11184.27470 485.72530 0.01165
15.28252 11806.00000 11180.26390 625.73610 0.01501
