# 2theta	intensity	baseline	bg_subtracted	normalized
11.79440 14804.00000 14640.15924 163.84076 0.00431
11.80526 14822.00000 14633.42544 188.57456 0.00496
11.81613 14837.00000 14626.69167 210.30833 0.00553
11.82700 14732.00000 14619.95799 112.04201 0.00295
11.83786 14881.00000 14613.22444 267.77556 0.00705
11.84873 14758.00000 14606.49109 151.50891 0.00399
11.85959 14680.00000 14599.75800 80.24200 0.00211
11.87046 14933.00000 14593.02522 339.97478 0.00895
11.88133 14624.00000 14586.29280 37.70720 0.00099
11.89219 14774.00000 14579.56081 194.43919 0.00512
11.90306 14679.00000 14572.82931 106.17069 0.00279
11.91393 14652.00000 14566.09835 85.90165 0.00226
11.92479 14612.00000 14559.36799 52.63201 0.00139
11.93566 14770.00000 14552.63828 217.36172 0.00572
11.94653 14758.00000 14545.90930 212.09070 0.00558
11.95739 14779.00000 14539.18109 239.81891 0.00631
11.96826 14868.00000 14532.45371 335.54629 0.00883
11.97913 14605.00000 14525.72723 79.27277 0.00209
11.98999 14895.00000 14519.00170 375.99830 0.00990
12.00086 14558.00000 14512.27718 45.72282 0.00120
12.01172 14549.00000 14505.55373 43.44627 0.00114
12.02259 14749.00000 14498.83141 250.16859 0.00658
12.03346 14528.00000 14492.11029 35.88971 0.00094
12.04432 14555.00000 14485.39041 69.60959 0.00183
12.05519 14697.00000 14478.67185 218.32815 0.00575
12.06606 14660.00000 14471.95465 188.04535 0.00495
12.07692 14606.00000 14465.23889 140.76111 0.00370
12.08779 14836.00000 14458.52462 377.47538 0.00993
12.09866 14556.00000 14451.81190 104.18810 0.00274
12.10952 14711.00000 14445.10080 265.89920 0.00700
12.12039 14846.00000 14438.39137 407.60863 0.01073
12.13126 14581.00000 14431.68367 149.31633 0.00393
12.14212 14676.00000 14424.97778 251.02222 0.00661
12.15299 14645.00000 14418.27374 226.72626 0.00597
12.16385 14692.00000 14411.57163 280.42837 0.00738
12.17472 14550.00000 14404.87150 145.12850 0.00382
12.18559 14811.00000 14398.17342 412.82658 0.01086
12.19645 14665.00000 14391.47746 273.52254 0.00720
12.20732 14693.00000 14384.78366 308.21634 0.00811
12.21819 14903.00000 14378.09210 524.90790 0.01381
12.22905 14591.00000 14371.40285 219.59715 0.00578
12.23992 14712.00000 14364.71595 347.28405 0.00914
12.25079 14646.00000 14358.03149 287.96851 0.00758
12.26165 14378.00000 14351.34953 26.65047 0.00070
12.27252 14709.00000 14344.67012 364.32988 0.00959
12.28339 14557.00000 14337.99335 219.00665 0.00576
12.29425 14528.00000 14331.31926 196.68074 0.00518
12.30512 14679.00000 14324.64793 354.35207 0.00933
12.31598 14483.00000 14317.97943 165.02057 0.00434
12.32685 14463.00000 14311.31381 151.68619 0.00399
12.33772 14617.00000 14304.65115 312.34885 0.00822
12.34858 14553.00000 14297.99152 255.00848 0.00671
12.35945 14574.00000 14291.33497 282.66503 0.00744
12.37032 14353.00000 14284.68158 68.31842 0.00180
12.38118 14482.00000 14278.03142 203.96858 0.00537
12.39205 14474.00000 14271.38455 202.61545 0.00533
12.40292 14614.00000 14264.74105 349.25895 0.00919
12.41378 14741.00000 14258.10097 482.89903 0.01271
12.42465 14362.00000 14251.46439 110.53561 0.00291
12.43552 14369.00000 14244.83137 124.16863 0.00327
12.44638 14513.00000 14238.20199 274.79801 0.00723
12.45725 14591.00000 14231.57632 359.42368 0.00946
12.46812 14530.00000 14224.95442 305.04558 0.00803
12.47898 14496.00000 14218.33636 277.66364 0.00731
12.48985 14312.00000 14211.72222 100.27778 0.00264
