# 2theta	intensity	baseline	bg_subtracted	normalized
13.22877 14369.00000 13929.11864 439.88136 0.01136
13.23963 14284.00000 13923.45691 360.54309 0.00931
13.25050 14371.00000 13917.80685 453.19315 0.01171
13.26137 14301.00000 13912.16859 388.83141 0.01005
13.27223 14083.00000 13906.54222 176.45778 0.00456
13.28310 14171.00000 13900.92785 270.07215 0.00698
13.29396 13894.00000 13895.32559 -1.32559 -0.00003
13.30483 14186.00000 13889.73553 296.26447 0.00765
13.31570 14261.00000 13884.15778 376.84222 0.00974
13.32656 14157.00000 13878.59241 278.40759 0.00719
13.33743 14105.00000 13873.03954 231.96046 0.00599
13.34830 14140.00000 13867.49924 272.50076 0.00704
13.35916 14033.00000 13861.97162 171.02838 0.00442
13.37003 14271.00000 13856.45676 414.54324 0.01071
13.38090 14167.00000 13850.95477 316.04523 0.00816
13.39176 14212.00000 13845.46573 366.53427 0.00947
13.40263 13952.00000 13839.98973 112.01027 0.00289
13.41350 14272.00000 13834.52688 437.47312 0.01130
13.42436 14409.00000 13829.07727 579.92273 0.01498
13.43523 14128.00000 13823.64100 304.35900 0.00786
13.44609 14378.00000 13818.21815 559.78185 0.01446
13.45696 14183.00000 13812.80883 370.19117 0.00956
13.46783 14210.00000 13807.41313 402.58687 0.01040
13.47869 14376.00000 13802.03115 573.96885 0.01483
13.48956 13930.00000 13796.66300 133.33700 0.00344
13.50043 14105.00000 13791.30875 313.69125 0.00810
13.51129 14072.00000 13785.96852 286.03148 0.00739
13.52216 13949.00000 13780.64241 168.35759 0.00435
13.53303 14043.00000 13775.33050 267.66950 0.00692
13.54389 13891.00000 13770.03291 120.96709 0.00313
13.55476 14290.00000 13764.74973 525.25027 0.01357
13.56563 13993.00000 13759.48105 233.51895 0.00603
13.57649 14449.00000 13754.22699 694.77301 0.01795
13.58736 14376.00000 13748.98764 627.01236 0.01620
13.59822 13989.00000 13743.76309 245.23691 0.00634
13.60909 14089.00000 13738.55346 350.44654 0.00905
13.61996 14008.00000 13733.35885 274.64115 0.00710
13.63082 13975.00000 13728.17935 246.82065 0.00638
13.64169 13966.00000 13723.01507 242.98493 0.00628
13.65256 14123.00000 13717.86611 405.13389 0.01047
13.66342 14164.00000 13712.73258 451.26742 0.01166
13.67429 14128.00000 13707.61457 420.38543 0.01086
13.68516 13979.00000 13702.51219 276.48781 0.00714
13.69602 14190.00000 13697.42555 492.57445 0.01273
13.70689 14110.00000 13692.35475 417.64525 0.01079
13.71776 13665.00000 13687.29990 -22.29990 -0.00058
13.72862 14062.00000 13682.26110 379.73890 0.00981
13.73949 13973.00000 13677.23823 295.76177 0.00764
13.75036 14063.00000 13672.23117 390.76883 0.01010
13.76122 14065.00000 13667.23981 397.76019 0.01028
13.77209 14042.00000 13662.26404 379.73596 0.00981
13.78295 13749.00000 13657.30373 91.69627 0.00237
13.79382 13948.00000 13652.35877 295.64123 0.00764
13.80469 13953.00000 13647.42905 305.57095 0.00789
13.81555 14056.00000 13642.51444 413.48556 0.01068
13.82642 13984.00000 13637.61484 346.38516 0.00895
13.83729 14127.00000 13632.73013 494.26987 0.01277
13.84815 13739.00000 13627.86020 111.13980 0.00287
13.85902 13967.00000 13623.00492 343.99508 0.00889
13.86989 13893.00000 13618.16420 274.83580 0.00710
13.88075 13912.00000 13613.33791 298.66209 0.00772
13.89162 13885.00000 13608.52594 276.47406 0.00714
13.90249 14040.00000 13603.72817 436.27183 0.01127
13.91335 13851.00000 13598.94451 252.05549 0.00651
13.92422 13694.00000 13594.17482 99.82518 0.00258
13.93508 13783.00000 13589.41901 193.58099 0.00500
