# 2theta	intensity	baseline	bg_subtracted	normalized
12.96488 13337.00000 13150.86219 186.13781 0.00491
12.97574 13572.00000 13146.28084 425.71916 0.01124
12.98661 13378.00000 13141.70602 236.29398 0.00624
12.99748 13519.00000 13137.13769 381.86231 0.01008
13.00834 13327.00000 13132.57580 194.42420 0.00513
13.01921 13437.00000 13128.02030 308.97970 0.00816
13.03008 13372.00000 13123.47116 248.52884 0.00656
13.04094 13392.00000 13118.92833 273.07167 0.00721
13.05181 13670.00000 13114.39176 555.60824 0.01467
13.06268 13428.00000 13109.86142 318.13858 0.00840
13.07354 13451.00000 13105.33727 345.66273 0.00912
13.08441 13513.00000 13100.81926 412.18074 0.01088
13.09527 13405.00000 13096.30735 308.69265 0.00815
13.10614 13439.00000 13091.80151 347.19849 0.00917
13.11701 13645.00000 13087.30168 557.69832 0.01472
13.12787 13504.00000 13082.80784 421.19216 0.01112
13.13874 13457.00000 13078.31993 378.68007 0.01000
13.14961 13420.00000 13073.83793 346.16207 0.00914
13.16047 13399.00000 13069.36180 329.63820 0.00870
13.17134 13314.00000 13064.89149 249.10851 0.00658
13.18221 13208.00000 13060.42696 147.57304 0.00390
13.19307 13164.00000 13055.96819 108.03181 0.00285
13.20394 13366.00000 13051.51512 314.48488 0.00830
13.21481 13272.00000 13047.06774 224.93226 0.00594
13.22567 13401.00000 13042.62599 358.37401 0.00946
13.23654 13290.00000 13038.18984 251.81016 0.00665
13.24741 13474.00000 13033.75925 440.24075 0.01162
13.25827 13528.00000 13029.33419 498.66581 0.01316
13.26914 13394.00000 13024.91463 369.08537 0.00974
13.28000 13242.00000 13020.50052 221.49948 0.00585
13.29087 13238.00000 13016.09183 221.90817 0.00586
13.30174 13380.00000 13011.68853 368.31147 0.00972
13.31260 13451.00000 13007.29058 443.70942 0.01171
13.32347 13290.00000 13002.89795 287.10205 0.00758
13.33434 13178.00000 12998.51060 179.48940 0.00474
13.34520 13454.00000 12994.12850 459.87150 0.01214
13.35607 13279.00000 12989.75162 289.24838 0.00764
13.36694 13107.00000 12985.37992 121.62008 0.00321
13.37780 13314.00000 12981.01338 332.98662 0.00879
13.38867 13273.00000 12976.65195 296.34805 0.00782
13.39954 12988.00000 12972.29562 15.70438 0.00041
13.41040 13199.00000 12967.94434 231.05566 0.00610
13.42127 13201.00000 12963.59808 237.40192 0.00627
13.43213 13128.00000 12959.25681 168.74319 0.00445
13.44300 13315.00000 12954.92051 360.07949 0.00951
13.45387 13171.00000 12950.58913 220.41087 0.00582
13.46473 13257.00000 12946.26265 310.73735 0.00820
13.47560 13352.00000 12941.94105 410.05895 0.01082
13.48647 13326.00000 12937.62428 388.37572 0.01025
13.49733 13150.00000 12933.31231 216.68769 0.00572
13.50820 13128.00000 12929.00513 198.99487 0.00525
13.51907 13085.00000 12924.70270 160.29730 0.00423
13.52993 13234.00000 12920.40499 313.59501 0.00828
13.54080 12951.00000 12916.11197 34.88803 0.00092
13.55167 13195.00000 12911.82361 283.17639 0.00748
13.56253 13272.00000 12907.53988 364.46012 0.00962
13.57340 12964.00000 12903.26077 60.73923 0.00160
13.58426 13084.00000 12898.98623 185.01377 0.00488
13.59513 13130.00000 12894.71624 235.28376 0.00621
13.60600 13322.00000 12890.45078 431.54922 0.01139
13.61686 13339.00000 12886.18981 452.81019 0.01195
13.62773 13222.00000 12881.93331 340.06669 0.00898
13.63860 13278.00000 12877.68125 400.31875 0.01057
13.64946 13171.00000 12873.43360 297.56640 0.00786
13.66033 13209.00000 12869.19035 339.80965 0.00897
13.67120 12993.00000 12864.95146 128.04854 0.00338
13.68206 13186.00000 12860.71692 325.28308 0.00859
13.69293 13053.00000 12856.48668 196.51332 0.00519
13.70380 13083.00000 12852.26074 230.73926 0.00609
13.71466 12997.00000 12848.03906 148.96094 0.00393
13.72553 13118.00000 12843.82162 274.17838 0.00724
13.73639 13047.00000 12839.60840 207.39160 0.00547
13.74726 13110.00000 12835.39937 274.60063 0.00725
13.75813 13094.00000 12831.19452 262.80548 0.00694
13.76899 13158.00000 12826.99380 331.00620 0.00874
13.77986 12933.00000 12822.79721 110.20279 0.00291
13.79073 13107.00000 12818.60473 288.39527 0.00761
13.80159 13073.00000 12814.41632 258.58368 0.00683
13.81246 13126.00000 12810.23196 315.76804 0.00834
13.82333 12816.00000 12806.05164 9.94836 0.00026
13.83419 13164.00000 12801.87533 362.12467 0.00956
13.84506 13236.00000 12797.70300 438.29700 0.01157
13.85593 13256.00000 12793.53465 462.46535 0.01221
13.86679 13412.00000 12789.37025 622.62975 0.01644
13.87766 13382.00000 12785.20977 596.79023 0.01575
13.88853 13016.00000 12781.05319 234.94681 0.00620
13.89939 13107.00000 12776.90051 330.09949 0.00871
13.91026 12910.00000 12772.75169 137.24831 0.00362
13.92112 13200.00000 12768.60673 431.39327 0.01139
13.93199 12953.00000 12764.46559 188.53441 0.00498
13.94286 12907.00000 12760.32827 146.67173 0.00387
13.95372 13096.00000 12756.19474 339.80526 0.00897
13.96459 13175.00000 12752.06499 422.93501 0.01116
13.97546 13216.00000 12747.93900 468.06100 0.01236
13.98632 12914.00000 12743.81675 170.18325 0.00449
13.99719 13072.00000 12739.69823 332.30177 0.00877
14.00806 12850.00000 12735.58342 114.41658 0.00302
14.01892 12939.00000 12731.47230 207.52770 0.00548
14.02979 13025.00000 12727.36486 297.63514 0.00786
14.04066 12773.00000 12723.26108 49.73892 0.00131
14.05152 13011.00000 12719.16094 291.83906 0.00770
14.06239 12999.00000 12715.06444 283.93556 0.00750
14.07325 13058.00000 12710.97155 347.02845 0.00916
14.08412 13121.00000 12706.88227 414.11773 0.01093
14.09499 12938.00000 12702.79657 235.20343 0.00621
14.10585 13019.00000 12698.71444 320.28556 0.00846
14.11672 13007.00000 12694.63587 312.36413 0.00825
14.12759 12857.00000 12690.56085 166.43915 0.00439
14.13845 12862.00000 12686.48936 175.51064 0.00463
14.14932 12967.00000 12682.42138 284.57862 0.00751
14.16019 12800.00000 12678.35692 121.64308 0.00321
14.17105 13105.00000 12674.29594 430.70406 0.01137
14.18192 12896.00000 12670.23845 225.76155 0.00596
14.19279 12807.00000 12666.18442 140.81558 0.00372
14.20365 12784.00000 12662.13386 121.86614 0.00322
14.21452 12945.00000 12658.08673 286.91327 0.00757
14.22538 13196.00000 12654.04304 541.95696 0.01431
14.23625 12856.00000 12650.00278 205.99722 0.00544
14.24712 12865.00000 12645.96592 219.03408 0.00578
14.25798 12863.00000 12641.93247 221.06753 0.00584
14.26885 13114.00000 12637.90240 476.09760 0.01257
14.27972 13024.00000 12633.87572 390.12428 0.01030
14.29058 12790.00000 12629.85241 160.14759 0.00423
14.30145 12719.00000 12625.83246 93.16754 0.00246
14.31232 12903.00000 12621.81586 281.18414 0.00742
14.32318 12776.00000 12617.80261 158.19739 0.00418
14.33405 12781.00000 12613.79269 167.20731 0.00441
14.34492 12781.00000 12609.78610 171.21390 0.00452
14.35578 12843.00000 12605.78283 237.21717 0.00626
14.36665 12667.00000 12601.78287 65.21713 0.00172
14.37751 12959.00000 12597.78621 361.21379 0.00954
14.38838 12768.00000 12593.79285 174.20715 0.00460
14.39925 12957.00000 12589.80277 367.19723 0.00969
14.41011 12953.00000 12585.81597 367.18403 0.00969
14.42098 12820.00000 12581.83244 238.16756 0.00629
14.43185 12800.00000 12577.85218 222.14782 0.00586
14.44271 12618.00000 12573.87518 44.12482 0.00116
14.45358 12726.00000 12569.90143 156.09857 0.00412
14.46445 12786.00000 12565.93093 220.06907 0.00581
14.47531 12685.00000 12561.96368 123.03632 0.00325
14.48618 12821.00000 12557.99965 263.00035 0.00694
14.49705 12869.00000 12554.03886 314.96114 0.00831
14.50791 12949.00000 12550.08129 398.91871 0.01053
14.51878 12757.00000 12546.12695 210.87305 0.00557
14.52964 12965.00000 12542.17581 422.82419 0.01116
14.54051 12863.00000 12538.22789 324.77211 0.00857
14.55138 12777.00000 12534.28317 242.71683 0.00641
14.56224 12921.00000 12530.34166 390.65834 0.01031
14.57311 12869.00000 12526.40335 342.59665 0.00904
14.58398 12568.00000 12522.46823 45.53177 0.00120
14.59484 12962.00000 12518.53631 443.46369 0.01171
14.60571 12829.00000 12514.60758 314.39242 0.00830
14.61658 12869.00000 12510.68204 358.31796 0.00946
14.62744 12891.00000 12506.75968 384.24032 0.01014
14.63831 12833.00000 12502.84051 330.15949 0.00872
14.64918 12693.00000 12498.92453 194.07547 0.00512
14.66004 12790.00000 12495.01172 294.98828 0.00779
14.67091 12695.00000 12491.10211 203.89789 0.00538
14.68178 12807.00000 12487.19567 319.80433 0.00844
14.69264 12866.00000 12483.29242 382.70758 0.01010
14.70351 12685.00000 12479.39235 205.60765 0.00543
14.71437 12660.00000 12475.49546 184.50454 0.00487
14.72524 12873.00000 12471.60176 401.39824 0.01060
14.73611 12786.00000 12467.71124 318.28876 0.00840
14.74697 12556.00000 12463.82391 92.17609 0.00243
14.75784 12753.00000 12459.93976 293.06024 0.00774
14.76871 12516.00000 12456.05881 59.94119 0.00158
14.77957 12463.00000 12452.18105 10.81895 0.00029
14.79044 12693.00000 12448.30648 244.69352 0.00646
14.80131 12529.00000 12444.43511 84.56489 0.00223
14.81217 12807.00000 12440.56694 366.43306 0.00967
14.82304 12651.00000 12436.70197 214.29803 0.00566
14.83391 12638.00000 12432.84020 205.15980 0.00542
14.84477 12836.00000 12428.98164 407.01836 0.01074
