# 2theta	intensity	baseline	bg_subtracted	normalized
12.72140 14069.00000 13868.86488 200.13512 0.00493
12.73227 14189.00000 13864.24134 324.75866 0.00799
12.74314 14255.00000 13859.62018 395.37982 0.00973
12.75400 14322.00000 13855.00141 466.99859 0.01149
12.76487 14107.00000 13850.38507 256.61493 0.00632
12.77574 14322.00000 13845.77116 476.22884 0.01172
12.78660 14080.00000 13841.15970 238.84030 0.00588
12.79747 14209.00000 13836.55071 372.44929 0.00917
12.80834 14107.00000 13831.94421 275.05579 0.00677
12.81920 14187.00000 13827.34021 359.65979 0.00885
12.83007 14289.00000 13822.73874 466.26126 0.01148
12.84094 14209.00000 13818.13980 390.86020 0.00962
12.85180 14171.00000 13813.54343 357.45657 0.00880
12.86267 14296.00000 13808.94962 487.05038 0.01199
12.87353 14153.00000 13804.35841 348.64159 0.00858
12.88440 14138.00000 13799.76981 338.23019 0.00832
12.89527 14374.00000 13795.18384 578.81616 0.01425
12.90613 14035.00000 13790.60051 244.39949 0.00602
12.91700 14083.00000 13786.01985 296.98015 0.00731
12.92787 14088.00000 13781.44187 306.55813 0.00754
12.93873 14093.00000 13776.86659 316.13341 0.00778
12.94960 14025.00000 13772.29403 252.70597 0.00622
12.96047 14278.00000 13767.72420 510.27580 0.01256
12.97133 14163.00000 13763.15712 399.84288 0.00984
12.98220 14109.00000 13758.59282 350.40718 0.00862
12.99307 13921.00000 13754.03130 166.96870 0.00411
13.00393 14216.00000 13749.47259 466.52741 0.01148
13.01480 13848.00000 13744.91671 103.08329 0.00254
13.02566 14161.00000 13740.36367 420.63633 0.01035
13.03653 14055.00000 13735.81350 319.18650 0.00786
13.04740 14279.00000 13731.26620 547.73380 0.01348
13.05826 14127.00000 13726.72181 400.27819 0.00985
13.06913 14256.00000 13722.18032 533.81968 0.01314
13.08000 14003.00000 13717.64178 285.35822 0.00702
13.09086 14102.00000 13713.10619 388.89381 0.00957
13.10173 13859.00000 13708.57357 150.42643 0.00370
13.11260 14015.00000 13704.04394 310.95606 0.00765
13.12346 14231.00000 13699.51732 531.48268 0.01308
13.13433 14036.00000 13694.99372 341.00628 0.00839
13.14520 13987.00000 13690.47318 296.52682 0.00730
13.15606 14024.00000 13685.95569 338.04431 0.00832
13.16693 13973.00000 13681.44129 291.55871 0.00718
13.17779 14261.00000 13676.93000 584.07000 0.01438
13.18866 14140.00000 13672.42182 467.57818 0.01151
13.19953 14159.00000 13667.91678 491.08322 0.01209
13.21039 13769.00000 13663.41490 105.58510 0.00260
13.22126 13937.00000 13658.91620 278.08380 0.00684
13.23213 13979.00000 13654.42069 324.57931 0.00799
13.24299 14025.00000 13649.92840 375.07160 0.00923
13.25386 13894.00000 13645.43934 248.56066 0.00612
13.26473 13825.00000 13640.95354 184.04646 0.00453
13.27559 13939.00000 13636.47100 302.52900 0.00745
13.28646 13967.00000 13631.99176 335.00824 0.00825
13.29733 13987.00000 13627.51582 359.48418 0.00885
13.30819 13808.00000 13623.04322 184.95678 0.00455
13.31906 13926.00000 13618.57396 307.42604 0.00757
13.32992 13969.00000 13614.10807 354.89193 0.00873
13.34079 13794.00000 13609.64557 184.35443 0.00454
13.35166 13905.00000 13605.18647 299.81353 0.00738
