# 2theta	intensity	baseline	bg_subtracted	normalized
13.42183 14367.00000 13819.94375 547.05625 0.01206
13.43269 14051.00000 13814.96223 236.03777 0.00520
13.44356 14300.00000 13809.98890 490.01110 0.01080
13.45443 14115.00000 13805.02384 309.97616 0.00683
13.46529 13963.00000 13800.06711 162.93289 0.00359
13.47616 14350.00000 13795.11879 554.88121 0.01223
13.48703 14204.00000 13790.17896 413.82104 0.00912
13.49789 14062.00000 13785.24768 276.75232 0.00610
13.50876 13953.00000 13780.32503 172.67497 0.00381
13.51962 14025.00000 13775.41108 249.58892 0.00550
13.53049 14122.00000 13770.50591 351.49409 0.00775
13.54136 14261.00000 13765.60959 495.39041 0.01092
13.55222 14381.00000 13760.72219 620.27781 0.01367
13.56309 13836.00000 13755.84380 80.15620 0.00177
13.57396 14089.00000 13750.97449 338.02551 0.00745
13.58482 14220.00000 13746.11433 473.88567 0.01045
13.59569 14070.00000 13741.26340 328.73660 0.00725
13.60656 14220.00000 13736.42178 483.57822 0.01066
13.61742 14069.00000 13731.58954 337.41046 0.00744
13.62829 13997.00000 13726.76677 270.23323 0.00596
13.63916 13770.00000 13721.95353 48.04647 0.00106
13.65002 14106.00000 13717.14992 388.85008 0.00857
13.66089 13891.00000 13712.35600 178.64400 0.00394
13.67175 13967.00000 13707.57185 259.42815 0.00572
13.68262 13924.00000 13702.79756 221.20244 0.00488
13.69349 14042.00000 13698.03320 343.96680 0.00758
13.70435 13909.00000 13693.27886 215.72114 0.00476
13.71522 14174.00000 13688.53461 485.46539 0.01070
13.72609 14074.00000 13683.80053 390.19947 0.00860
13.73695 13901.00000 13679.07670 221.92330 0.00489
13.74782 14105.00000 13674.36320 430.63680 0.00949
13.75869 14130.00000 13669.66012 460.33988 0.01015
13.76955 14143.00000 13664.96754 478.03246 0.01054
13.78042 14037.00000 13660.28554 376.71446 0.00830
13.79129 14107.00000 13655.61419 451.38581 0.00995
13.80215 13797.00000 13650.95359 146.04641 0.00322
13.81302 13835.00000 13646.30381 188.69619 0.00416
13.82389 13946.00000 13641.66495 304.33505 0.00671
13.83475 13868.00000 13637.03708 230.96292 0.00509
13.84562 14058.00000 13632.42028 425.57972 0.00938
13.85648 13901.00000 13627.81465 273.18535 0.00602
13.86735 13982.00000 13623.22026 358.77974 0.00791
13.87822 13962.00000 13618.63720 343.36280 0.00757
13.88908 13985.00000 13614.06556 370.93444 0.00818
13.89995 13810.00000 13609.50541 200.49459 0.00442
13.91082 13781.00000 13604.95686 176.04314 0.00388
13.92168 13699.00000 13600.41998 98.58002 0.00217
13.93255 13755.00000 13595.89486 159.10514 0.00351
13.94342 14115.00000 13591.38158 523.61842 0.01154
13.95428 13923.00000 13586.88024 336.11976 0.00741
13.96515 13869.00000 13582.39091 286.60909 0.00632
13.97602 13857.00000 13577.91369 279.08631 0.00615
13.98688 13918.00000 13573.44867 344.55133 0.00760
13.99775 13554.00000 13568.99592 -14.99592 -0.00033
14.00861 13693.00000 13564.55555 128.44445 0.00283
14.01948 13701.00000 13560.12749 140.87251 0.00311
14.03035 13668.00000 13555.71167 112.28833 0.00248
14.04121 13962.00000 13551.30804 410.69196 0.00905
14.05208 13806.00000 13546.91654 259.08346 0.00571
14.06295 14000.00000 13542.53709 457.46291 0.01008
14.07381 13675.00000 13538.16965 136.83035 0.00302
14.08468 13963.00000 13533.81416 429.18584 0.00946
14.09555 13598.00000 13529.47054 68.52946 0.00151
14.10641 13802.00000 13525.13875 276.86125 0.00610
14.11728 13845.00000 13520.81872 324.18128 0.00715
14.12815 13798.00000 13516.51040 281.48960 0.00621
14.13901 13681.00000 13512.21372 168.78628 0.00372
14.14988 13803.00000 13507.92863 295.07137 0.00650
14.16074 13933.00000 13503.65507 429.34493 0.00946
14.17161 13809.00000 13499.39297 309.60703 0.00683
14.18248 13914.00000 13495.14229 418.85771 0.00923
14.19334 13695.00000 13490.90297 204.09703 0.00450
14.20421 13836.00000 13486.67494 349.32506 0.00770
14.21508 13697.00000 13482.45815 214.54185 0.00473
14.22594 13730.00000 13478.25255 251.74745 0.00555
14.23681 13682.00000 13474.05807 207.94193 0.00458
14.24768 13769.00000 13469.87467 299.12533 0.00659
14.25854 13753.00000 13465.70229 287.29771 0.00633
14.26941 13589.00000 13461.54086 127.45914 0.00281
14.28028 13932.00000 13457.39034 474.60966 0.01046
14.29114 13622.00000 13453.25067 168.74933 0.00372
14.30201 13734.00000 13449.12180 284.87820 0.00628
14.31287 13589.00000 13445.00367 143.99633 0.00317
14.32374 14133.00000 13440.89623 692.10377 0.01526
14.33461 13622.00000 13436.79941 185.20059 0.00408
14.34547 13769.00000 13432.71318 336.28682 0.00741
14.35634 13698.00000 13428.63748 269.36252 0.00594
14.36721 13446.00000 13424.57225 21.42775 0.00047
14.37807 13568.00000 13420.51744 147.48256 0.00325
14.38894 13645.00000 13416.47301 228.52699 0.00504
14.39981 13621.00000 13412.43888 208.56112 0.00460
14.41067 13632.00000 13408.41503 223.58497 0.00493
14.42154 13730.00000 13404.40138 325.59862 0.00718
14.43241 13602.00000 13400.39790 201.60210 0.00444
14.44327 13892.00000 13396.40452 495.59548 0.01093
14.45414 13539.00000 13392.42121 146.57879 0.00323
14.46501 13552.00000 13388.44790 163.55210 0.00361
14.47587 13629.00000 13384.48455 244.51545 0.00539
14.48674 13644.00000 13380.53111 263.46889 0.00581
14.49760 13694.00000 13376.58752 317.41248 0.00700
14.50847 13734.00000 13372.65374 361.34626 0.00797
14.51934 13581.00000 13368.72971 212.27029 0.00468
14.53020 13752.00000 13364.81540 387.18460 0.00854
14.54107 13531.00000 13360.91074 170.08926 0.00375
14.55194 13600.00000 13357.01570 242.98430 0.00536
14.56280 13648.00000 13353.13021 294.86979 0.00650
14.57367 13739.00000 13349.25424 389.74576 0.00859
14.58454 13824.00000 13345.38774 478.61226 0.01055
14.59540 13488.00000 13341.53065 146.46935 0.00323
14.60627 13686.00000 13337.68294 348.31706 0.00768
14.61714 13458.00000 13333.84455 124.15545 0.00274
14.62800 13755.00000 13330.01544 424.98456 0.00937
14.63887 13622.00000 13326.19556 295.80444 0.00652
14.64973 13544.00000 13322.38487 221.61513 0.00489
14.66060 13747.00000 13318.58332 428.41668 0.00944
14.67147 13746.00000 13314.79086 431.20914 0.00951
14.68233 13598.00000 13311.00745 286.99255 0.00633
14.69320 13688.00000 13307.23305 380.76695 0.00839
14.70407 13616.00000 13303.46761 312.53239 0.00689
14.71493 13803.00000 13299.71108 503.28892 0.01109
14.72580 13619.00000 13295.96343 323.03657 0.00712
14.73667 13395.00000 13292.22461 102.77539 0.00227
14.74753 13649.00000 13288.49457 360.50543 0.00795
14.75840 13702.00000 13284.77328 417.22672 0.00920
14.76927 13630.00000 13281.06069 348.93931 0.00769
14.78013 13743.00000 13277.35677 465.64323 0.01026
14.79100 13368.00000 13273.66146 94.33854 0.00208
14.80186 13498.00000 13269.97473 228.02527 0.00503
14.81273 13604.00000 13266.29654 337.70346 0.00744
14.82360 13443.00000 13262.62684 180.37316 0.00398
14.83446 13584.00000 13258.96560 325.03440 0.00717
14.84533 13719.00000 13255.31277 463.68723 0.01022
